DEPT_CODE,DEPT_NAME,YYYY,GDP(Bill)(COP),GDP(COP),SECTOR,SECTOR_ID
0,COLOMBIA,2009,97973,9.7973E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2010,105048,1.05048E+14,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2011,113878,1.13878E+14,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2012,123883,1.23883E+14,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2013,132478,1.32478E+14,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2014,143132,1.43132E+14,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2015,153724,1.53724E+14,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
0,COLOMBIA,2016p,167220,1.6722E+14,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2000,13,13000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2001,14,14000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2002,17,17000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2003,17,17000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2004,13,13000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2005,14,14000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2006,15,15000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2007,17,17000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2008,22,22000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2009,24,24000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2010,27,27000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
